교과목,교육과정,교육주차,강사강의 만족도,순위
클라우드 서비스를 활용한 데이터 관리,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.519230769,1113위
동영상 편집 앱을 이용한 영상 편집,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.519230769,1113위
그리스·로마 신화 이야기,제21기 중견리더 과정,2024년 10월 2주차,4.5175,1115위
공무원 연금제도의 이해,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5175,1115위
노르딕 워킹(걷기에 날개를 달다),제21기 중견리더 과정,2024년 4월 2주차,4.5175,1115위
소통을 위한 대화의 기술과 공감 기법,제1기 지역특화 관광 콘텐츠 개발 과정,2024년 4월 4주차,4.515,1118위
디지털·미래대응 교육 이해 및 실습,제7기 신규 임용(후보)자 과정,2024년 8월 1주차,4.515,1118위
이해충돌방지법 제정 의의 및 사례,제1기 공직자 이해충돌방지 과정,2024년 5월 3주차,4.515,1118위
일본어A,제21기 중견리더 과정,2024년 7월 2주차,4.515,1121위
독도를 통한 올바른 역사인식,제1기 신규 임용(후보)자 과정,2024년 3월 1주차,4.515,1121위
기본 보이스 트레이닝,제1기 명품 스피치 과정,2024년 5월 1주차,4.515,1121위
[모의과제 실습] 구두발표,제2기 시·군 팀장 리더십 과정,2024년 4월 1주차,4.515,1121위
패브릭 아트 실습,제21기 중견리더 과정,2024년 11월 5주차,4.515,1121위
보조금 실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.515,1121위
댄스스포츠-전시회 및 발표회 준비(동아리교과),제21기 중견리더 과정,2024년 12월 1주차,4.514705882,1127위
법령체계와 법령해석 방법론,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.513232994,1128위
라탄공예-전시회 및 발표회 준비(동아리교과),제21기 중견리더 과정,2024년 12월 1주차,4.513157895,1129위
탁구,제21기 중견리더 과정,2024년 6월 3주차,4.5125,1130위
보도자료 작성실무,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.5125,1130위
한자,제21기 중견리더 과정,2024년 5월 4주차,4.5125,1130위
정리수납,제21기 중견리더 과정,2024년 3월 2주차,4.5125,1130위
엑셀 파워 쿼리 이용한 자동화 작업,제2기 엑셀활용(중급) 과정,2024년 7월 3주차,4.5125,1130위
세대공감 및 민원응대 역할연기,제11기 신규 임용(후보)자 과정,2024년 12월 1주차,4.511574074,1135위
만성질환 예방,제4기 미래설계 과정,2024년 11월 4주차,4.51,1136위
탁구,제21기 중견리더 과정,2024년 5월 3주차,4.51,1136위
탁구,제21기 중견리더 과정,2024년 8월 5주차,4.51,1136위
탁구,제21기 중견리더 과정,2024년 10월 2주차,4.51,1136위
탁구,제21기 중견리더 과정,2024년 10월 3주차,4.51,1136위
보도자료 작성실무,제10기 신규 임용(후보)자 과정,2024년 11월 4주차,4.51,1136위
경남의 문화와 역사,제2기 경남 바로 알기 과정,2024년 12월 2주차,4.51,1136위
행사진행 -행사 사례 및 의전-,제1기 행사실무 과정,2024년 4월 1주차,4.51,1136위
법률(규정)해석,제2기 신규공무원 역량향상 심화 과정,2024년 4월 3주차,4.51,1136위
민법,제21기 중견리더 과정,2024년 11월 2주차,4.51,1136위
세대공감 및 민원응대 역할연기,제5기 신규 임용(후보)자 과정,2024년 6월 1주차,4.51,1136위
경남의 비전과 주요정책,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.51,1136위
지방보조금 관리시스템(보탬e) 활용,보조금 단체 회계실무 과정,2024년 6월 1주차,4.51,1136위
보조금 실무,제4기 신규공무원 역량향상 심화 과정,2024년 6월 4주차,4.51,1136위
헌법,제21기 중견리더 과정,2024년 3월 2주차,4.51,1136위
헌법,제21기 중견리더 과정,2024년 6월 3주차,4.51,1136위
헌법,제21기 중견리더 과정,2024년 6월 4주차,4.51,1136위
성과중심 공직가치 함양,제2기 신규 임용(후보)자 과정,2024년 3월 3주차,4.5075,1153위
현장학습(도정과제 연계),제8기 신규임용(후보)자 과정,2024년 10월 1주차,4.505,1154위
탁구,제21기 중견리더 과정,2024년 10월 5주차,4.505,1155위
직장 내 괴롭힘 예방,제8기 신규임용(후보)자 과정,2024년 10월 1주차,4.505,1155위
사진,제21기 중견리더 과정,2024년 6월 3주차,4.505,1155위
우주항공산업과 경남의 미래,제1기 경남 바로알기 과정,2024년 3월 1주차,4.505,1155위
국가재난 복구정책 및 지원사례,제21기 중견리더 과정,2024년 11월 4주차,4.505,1155위
핵심 엑셀 활용 팁,제4기 신규 임용(후보)자 과정,2024년 5월 3주차,4.505,1155위
법령체계와 법령해석 방법론,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.505,1155위
쉽게 배워서 크게 쓰는 재무 설계,제21기 중견리더 과정,2024년 4월 1주차,4.505,1155위
생동감up 현장이야기(민원응대),제8기 신규임용(후보)자 과정,2024년 10월 1주차,4.505,1155위
헌법,제21기 중견리더 과정,2024년 2월 4주차,4.505,1155위
라탄공예-발표회 및 수료 준비(동아리반),제21기 중견리더 과정,2024년 12월 2주차,4.50462963,1165위
라탄공예,제21기 중견리더 과정,2024년 11월 5주차,4.5025,1166위
공무원 연금제도의 이해,제7기 신규 임용(후보)자 과정,2024년 8월 1주차,4.5025,1166위
공무원 연금제도의 이해,제10기 신규 임용(후보)자 과정,2024년 11월 4주차,4.5025,1168위
예산실무,제5기 신규 임용(후보)자 과정,2024년 6월 3주차,4.5025,1168위
디지털·미래대응 교육 이해 및 실습,제2기 신규 임용(후보)자 과정,2024년 4월 1주차,4.5025,1168위
유익한 법률상식,제21기 중견리더 과정,2024년 11월 3주차,4.5025,1168위
직장 내 괴롭힘 예방,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5025,1168위
경남 일자리 발굴 및 실천 방안,제2기 경남 일자리 과정,2024년 10월 2주차,4.5,1173위
인사말 쓰기,제2기 행사실무 과정,2024년 8월 5주차,4.5,1173위
차세대지방재정관리시스템,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.5,1173위
경남 관광산업 현황 및 발전방안 ,제5기 시·군 팀장 리더십 과정,2024년 7월 4주차,4.5,1173위
보고서 작성 및 기획역량 강화,제4기 신규 임용(후보)자 과정,2024년 5월 3주차,4.5,1173위
청렴 교육,제1기 기간제 근로자 관리자 과정,2024년 3월 1주차,4.5,1173위
영어A,제21기 중견리더 과정,2024년 6월 4주차,4.5,1173위
영어A,제21기 중견리더 과정,2024년 7월 1주차,4.5,1173위
댄스스포츠,제21기 중견리더 과정,2024년 4월 1주차,4.5,1173위
댄스스포츠,제21기 중견리더 과정,2024년 11월 3주차,4.5,1173위
ChatGPT 업무 활용,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.5,1173위
역량에 대한 이해,제4기 시·군 팀장 역량향상 과정,2024년 10월 5주차,4.5,1173위
영어B,제21기 중견리더 과정,2024년 6월 1주차,4.5,1173위
지방자치제도 및 지방의회 역할,제2기 지방의회 공무원 실무역량 향상 과정,2024년 8월 5주차,4.5,1173위
통기타,제21기 중견리더 과정,2024년 11월 3주차,4.5,1173위
기타-발표회 및 수료 준비(동아리반),제21기 중견리더 과정,2024년 12월 2주차,4.5,1173위
기타-수료식 발표회 리허설,제21기 중견리더 과정,2024년 12월 2주차,4.5,1173위
분임연구지도,제21기 중견리더 과정,2024년 5월 2주차,4.5,1173위
가죽공예,제21기 중견리더 과정,2024년 5월 5주차,4.5,1173위
가죽공예,제21기 중견리더 과정,2024년 6월 1주차,4.5,1173위
가죽공예,제21기 중견리더 과정,2024년 10월 5주차,4.5,1173위
영어C,제21기 중견리더 과정,2024년 6월 4주차,4.5,1173위
영어C,제21기 중견리더 과정,2024년 7월 2주차,4.5,1173위
영어C,제21기 중견리더 과정,2024년 11월 3주차,4.5,1173위
일본어A,제21기 중견리더 과정,2024년 7월 3주차,4.4975,1197위
일반서무 업무 알아보기,제7기 신규 임용(후보)자 과정,2024년 8월 1주차,4.4975,1197위
이탈리아 기행,제21기 중견리더 과정,2024년 9월 3주차,4.4975,1197위
경남의 도정과제 공유(시군정책 이해를 통한 공감 경남 만들기),제2기 신규 임용(후보)자 과정,2024년 3월 3주차,4.4975,1197위
생동감up 현장이야기(민원응대),제3기 신규 임용(후보)자 과정,2024년 4월 4주차,4.4975,1197위
성희롱과 성폭력 사례로 보는 인권의 이해,제21기 중견리더 과정,2024년 7월 3주차,4.4975,1197위
일본어B,제21기 중견리더 과정,2024년 4월 3주차,4.4975,1203위
계약실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.4975,1203위
행정업무 운영실무,제11기 신규 임용(후보)자 과정,2024년 12월 1주차,4.497151818,1205위
중국어,제21기 중견리더 과정,2024년 4월 3주차,4.495,1206위
행정소송사례,제21기 중견리더 과정,2024년 11월 3주차,4.495,1206위
보고서 작성 실습,제4기 신규 임용(후보)자 과정,2024년 5월 5주차,4.495,1206위
보고서 작성 실습,제3기 신규 임용(후보)자 과정,2024년 4월 4주차,4.4925,1209위
정리수납,제21기 중견리더 과정,2024년 4월 4주차,4.4925,1210위
카드뉴스와 SNS 홍보전략,제2기 홍보실무 과정,2024년 10월 3주차,4.4925,1210위
스트레칭,제1기 항노화산업 탐방 과정,2024년 5월 4주차,4.4925,1210위
영어B,제21기 중견리더 과정,2024년 8월 3주차,4.4925,1210위
공무원 연금제도의 이해,제8기 신규임용(후보)자 과정,2024년 10월 2주차,4.4925,1210위
헌법,제21기 중견리더 과정,2024년 5월 4주차,4.4925,1210위
생동감up 현장이야기(조직이야기),제7기 신규 임용(후보)자 과정,2024년 8월 1주차,4.49,1216위
보고서 작성 기법 및 실습,제3기 기획능력 향상 과정,2024년 12월 2주차,4.49,1216위
패브릭 아트의 이해,제21기 중견리더 과정,2024년 11월 5주차,4.49,1216위
경남 섬 가치와 미래,제3기 경남의 섬 과정,2024년 10월 3주차,4.49,1216위
소통을 위한 대화기술 및 공감기법,제1기 7·8급 승진자 역량향상 과정,2024년 3월 2주차,4.49,1216위
저작권 문제 없는 콘텐츠 활용,제4기 스마트기기 활용 능력 과정,2024년 12월 2주차,4.489615385,1221위
K문화의 부상과 통일과제,제21기 중견리더 과정,2024년 6월 4주차,4.4875,1222위
차세대 지방재정관리 시스템,제7기 신규 임용(후보)자 과정,2024년 8월 1주차,4.4875,1222위
성찰 및 비전 수립,제1기 신규 임용(후보)자 과정,2024년 3월 1주차,4.4875,1222위
지방소멸 실태와 정책기조,제4기 7·8급 승진자 역량향상 과정,2024년 9월 4주차,4.4875,1225위
탁구,제21기 중견리더 과정,2024년 6월 1주차,4.4875,1225위
명품바디만들기,제21기 중견리더 과정,2024년 5월 4주차,4.4875,1225위
헌법,제21기 중견리더 과정,2024년 6월 2주차,4.4875,1225위
역할연기 평가 및 공유,제11기 신규 임용(후보)자 과정,2024년 12월 2주차,4.487321855,1229위
일본어A,제21기 중견리더 과정,2024년 6월 2주차,4.485,1230위
일본어B,제21기 중견리더 과정,2024년 5월 4주차,4.485,1230위
스트레칭,제1기 지속가능발전 목표 이행 과정,2024년 5월 5주차,4.485,1230위
스트레칭과 싱잉볼 명상,제3기 6급 승진자 역량향상 과정,2024년 9월 1주차,4.485,1230위
가죽공예,제21기 중견리더 과정,2024년 4월 3주차,4.485,1230위
정리수납,제21기 중견리더 과정,2024년 8월 5주차,4.485,1235위
근골격계 질환의 이해,제21기 중견리더 과정,2024년 12월 1주차,4.483333333,1236위
지방예산운영실무,제2기 지방의회 공무원 실무역량 향상 과정,2024년 8월 5주차,4.4825,1237위
차세대 지방재정관리 시스템,제8기 신규임용(후보)자 과정,2024년 10월 2주차,4.4825,1237위
영어A,제21기 중견리더 과정,2024년 5월 3주차,4.4825,1237위
컨디션 회복 스트레칭,제21기 중견리더 과정,2024년 11월 3주차,4.4825,1237위
공무원 노사관계의 이해,제8기 신규임용(후보)자 과정,2024년 10월 2주차,4.4825,1237위
공무원 노사관계의 이해,제10기 신규 임용(후보)자 과정,2024년 11월 4주차,4.4825,1237위
소통을 위한 대화의 기술 공감기법,제2기 공공언어 바르게 쓰기 과정,2024년 11월 2주차,4.4825,1237위
청탁금지법의 이해,제10기 신규 임용(후보)자 과정,2024년 11월 4주차,4.4825,1237위
성찰 및 비전 수립,제3기 신규 임용(후보)자 과정,2024년 5월 1주차,4.4825,1237위
헌법,제21기 중견리더 과정,2024년 3월 3주차,4.4825,1237위
탁구,제21기 중견리더 과정,2024년 9월 1주차,4.48,1247위
요가 및 스트레칭,제1기 스트레스 치유 과정,2024년 7월 1주차,4.48,1247위
저수지 댐 안전관리 및 점검 실무요령,제1기 저수지·댐 안전관리 과정,2024년 4월 4주차,4.48,1247위
법령체계와 법령해석 방법론,제6기 신규 임용(후보)자 과정,2024년 7월 2주차,4.48,1247위
소통을 위한 대화기술 및 공감기법,제6기 시·군 팀장 리더십 과정,2024년 10월 4주차,4.48,1247위
현장학습(도정과제 연계),제3기 신규 임용(후보)자 과정,2024년 4월 4주차,4.48,1247위
헌법,제21기 중견리더 과정,2024년 5월 3주차,4.48,1247위
헌법,제21기 중견리더 과정,2024년 6월 1주차,4.48,1247위
공연 예술과 뮤지컬의 이해,제21기 중견리더 과정,2024년 5월 5주차,4.48,1255위
가죽공예,제21기 중견리더 과정,2024년 6월 2주차,4.48,1255위
영어C,제21기 중견리더 과정,2024년 3월 1주차,4.48,1255위
일본어A,제21기 중견리더 과정,2024년 12월 1주차,4.479166667,1258위
우주항공산업의 역사와 미래,제1기 우주항공산업과 UAM 과정,2024년 9월 1주차,4.4775,1259위
성과중심 공직가치 함양,제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.4775,1259위
Open mind/팀빌딩,제7기 신규 임용(후보)자 과정,2024년 7월 3주차,4.4775,1259위
공직가치 액션러닝(골든타임 119),제10기 신규 임용(후보)자 과정,2024년 11월 2주차,4.4775,1259위
이물관리 및 위해식품 회수관리,제1기 식품위생감시원 직무교육 과정,2024년 2월 5주차,4.4775,1259위
